birth_rate,co2_ppm,death_rate,food_kcal_per_capita,food_per_capita_index,food_production_index,gdp_per_capita,life_expectancy,mean_years_schooling,plastic_production,pollution_composite,population,year
21.1410477264066,375.98,8.28914591000193,2657.9585,56.617203850035786,98.5989315593243,8151.0370050525,68.5157832704694,,241000000.0,4.020080183879005,6409352386.0,2003
20.9562611035512,377.7,8.19365280168498,2666.9324,55.25656640996689,97.475746974402,8408.56458732623,68.7710985282211,,256000000.0,4.237006527002842,6492354627.0,2004
20.7890354131665,379.98,8.13871868031213,2677.8682,56.124355775630235,100.273315954213,8639.35934743695,69.111445965915,7.7389355,263000000.0,4.34050689546268,6575410029.0,2005
20.6401431424526,382.09,8.06363735436202,2692.6128,55.95412198187187,101.248241055207,8913.15666856363,69.4690022328376,,280000000.0,4.586603414394498,6659536021.0,2006
20.5675446403868,384.02,8.00540469125587,2716.6968,54.86976989358513,100.546020446261,9191.47419679425,69.8049778312625,,295000000.0,4.803852159876478,6744049498.0,2007
20.5217687916344,385.83,7.98417519737266,2730.8528,54.4956351118694,101.134130707336,9265.52655477352,70.0043236169628,,281000000.0,4.606630961153805,6830080867.0,2008
20.3616266075474,387.64,7.90098593890559,2727.4556,54.693976435951114,102.781309595421,9028.22055162901,70.3803491247646,,288000000.0,4.709409762431132,6916168196.0,2009
20.1885832819796,390.1,7.81971464630986,2795.7551,52.318978679964864,99.5218775961412,9322.21791578106,70.6826307784169,8.149967,313000000.0,5.0703293329122365,7000860073.0,2010
20.3011656278547,391.85,7.76162151146208,2815.414,54.33782692205818,104.629638646154,9514.51951048996,70.9688028224075,,325000000.0,5.2444445906586665,7086704141.0,2011
20.414916627937,394.06,7.6891465005044,2834.6226,50.91450239023844,99.2802439027365,9653.62748273357,71.2645542969028,,338000000.0,5.4335517773800746,7176482165.0,2012
19.8668046345892,396.74,7.62677448242537,2840.0308,50.305991148496425,99.3096243211581,9811.02619687608,71.5334887297047,,352000000.0,5.637666245569709,7265404737.0,2013
19.7723329388298,398.81,7.58282331702091,2870.563,49.709426742834395,99.3228261915629,10000.5832738734,71.7763867362613,,367000000.0,5.855129925957119,7353532223.0,2014
19.2532782409723,401.01,7.58281572695444,2872.376,49.45913152391643,100.0,10191.9752512662,71.9656376386893,8.478128,381000000.0,6.058507474470997,7441084771.0,2015
19.2927308989728,404.41,7.53742665553239,2879.356,48.88627594453546,100.0,10355.0449873521,72.1858228976022,,400050000.0,6.335870179317121,7528221579.0,2016
18.7566124259413,406.76,7.52649450759098,2905.1902,48.3364335076619,100.0,10591.5550846784,72.3662967648278,,420052500.0,6.625228015229673,7613788655.0,2017
18.1942556091008,408.72,7.4939220648592,2910.209,47.81703623973203,100.0,10822.5745320636,72.6442408544831,,441055125.0,6.928274603905675,7696159728.0,2018
17.8038301007604,411.65,7.46946655243651,2931.7092,47.32045468634098,100.0,10996.909518407,72.869911203356,,459746016.0,7.199785612997859,7777162476.0,2019
17.149689935117,414.21,8.0128021370251,2942.5283,46.85814040528715,100.0,10575.2194883029,72.1832040176208,8.840671,,7.203715851268554,7853863139.0,2020
16.8444321573952,416.41,8.71376672373529,2964.7986,,,11167.6044923385,71.2160780260296,,,7.207093399782433,7919567995.0,2021
16.5587916024691,418.53,7.70966159942046,2987.4412,,,11452.0202124616,72.9689585478052,,,7.210348128350352,7988550201.0,2022
16.333620344969,421.08,7.58905193782761,3005.6204,,,11670.8224680822,73.3302230276374,,,7.214263014127803,8062923417.0,2023
16.2730070969907,424.61,7.55065418868632,,,,11894.2521505051,73.4818184164654,,,7.2196824442432534,8140897523.0,2024
,427.35,,,,,12130.6633214662,,,,7.223889027392357,8215424893.0,2025
